   Vtrue_ktas ,   AMprs_inHG ,   AMtmp_degC ,   alpha__deg ,   curnt___lb 
166.98083,17.79273,-10.65407,3.5947,29990.00977
166.63292,17.79273,-10.65409,3.62274,29989.70508
166.28854,17.79272,-10.6541,3.65071,29989.41016
165.94177,17.79272,-10.65412,3.67899,29989.11914
165.59508,17.79271,-10.65413,3.70732,29988.82617
165.25076,17.79271,-10.65415,3.73622,29988.53125
164.91045,17.79271,-10.65416,3.76461,29988.23633
164.56841,17.7927,-10.65416,3.79326,29987.94336
164.23331,17.7927,-10.65417,3.82174,29987.64844
163.89902,17.7927,-10.65418,3.85006,29987.35156
163.5636,17.79269,-10.65419,3.87864,29987.05859
163.22562,17.79269,-10.65419,3.90768,29986.76172
162.89552,17.79269,-10.6542,3.9363,29986.46875
162.56705,17.79269,-10.65421,3.96476,29986.17383
162.23853,17.79268,-10.65421,3.9935,29985.87891
161.9088,17.79268,-10.65422,4.02226,29985.57422
161.58084,17.79268,-10.65423,4.0512,29985.2793
161.25471,17.79268,-10.65424,4.08046,29984.97461
160.92764,17.79267,-10.65425,4.10941,29984.68164
160.60181,17.79267,-10.65426,4.13858,29984.38672
160.27643,17.79267,-10.65427,4.16825,29984.09375
159.95715,17.79266,-10.65428,4.19737,29983.79883
159.63576,17.79266,-10.65428,4.2267,29983.50586
159.3156,17.79266,-10.65429,4.2563,29983.20898
158.99728,17.79266,-10.65429,4.28554,29982.91602
158.68071,17.79266,-10.6543,4.31528,29982.62305
158.36786,17.79266,-10.6543,4.34458,29982.32617
158.08102,17.79265,-10.65431,4.36957,29982.03125
158.49878,17.79259,-10.65447,4.32467,29981.62891
159.12122,17.79222,-10.65555,4.24108,29981.16992
159.69424,17.7914,-10.65791,4.12434,29980.71094
160.24106,17.79025,-10.6612,4.01102,29980.25
160.77853,17.78896,-10.66489,3.91424,29979.79102
161.32599,17.78769,-10.66851,3.8372,29979.33398
161.88258,17.78656,-10.67176,3.77757,29978.86133
162.44571,17.78561,-10.67449,3.72981,29978.40234
163.02319,17.78483,-10.67671,3.68907,29977.9375
163.61832,17.78421,-10.67848,3.65096,29977.49023
164.21074,17.78373,-10.67985,3.61332,29977.0293
164.80644,17.78336,-10.68093,3.57493,29976.56836
165.41125,17.78306,-10.68179,3.53491,29976.0957
166.0103,17.78281,-10.68251,3.49326,29975.64648
166.60652,17.78259,-10.68312,3.45004,29975.20117
167.19344,17.7824,-10.68366,3.40681,29974.74219
167.78143,17.78224,-10.68414,3.36366,29974.2832
168.364,17.78209,-10.68457,3.32013,29973.82227
168.9481,17.78195,-10.68496,3.27688,29973.37109
169.52797,17.78183,-10.68531,3.23462,29972.91211
170.09819,17.78172,-10.68561,3.19285,29972.44922
170.67003,17.78164,-10.68586,3.15181,29971.98633
171.24419,17.78157,-10.68606,3.11104,29971.51562
171.80693,17.78151,-10.68622,3.07182,29971.06836
172.37189,17.78147,-10.68633,3.03273,29970.8418
172.93246,17.78144,-10.68641,2.99426,29970.37109
173.48509,17.78143,-10.68646,2.95622,29969.91016
174.03123,17.78142,-10.68647,2.91942,29969.44922
174.57596,17.78143,-10.68646,2.88292,29968.98438
175.11552,17.78144,-10.68643,2.84744,29968.51172
175.6456,17.78146,-10.68637,2.8123,29968.06641
176.18013,17.78149,-10.68629,2.7775,29967.60547
176.70532,17.78152,-10.68619,2.74385,29967.1582
177.22864,17.78156,-10.68608,2.70994,29966.71094
177.74361,17.7816,-10.68595,2.6769,29966.25195
178.25661,17.78165,-10.68581,2.645,29965.77539
178.77072,17.78171,-10.68566,2.61235,29965.30469
179.27467,17.78176,-10.68551,2.58059,29964.8457
179.7748,17.78182,-10.68535,2.54972,29964.38672
180.27141,17.78188,-10.68518,2.51903,29963.91602
180.76241,17.78194,-10.685,2.48895,29963.45312
181.24695,17.782,-10.68482,2.45953,29962.98047
181.72914,17.78206,-10.68464,2.43122,29962.51758
182.20569,17.78213,-10.68445,2.40239,29962.05859
182.6821,17.7822,-10.68426,2.37421,29961.59766
183.15309,17.78226,-10.68406,2.34682,29961.13477
183.61469,17.78233,-10.68387,2.31937,29960.68359
184.07013,17.7824,-10.68368,2.29317,29960.21289
184.52608,17.78247,-10.68348,2.26678,29959.75195
184.97192,17.78254,-10.68328,2.2414,29959.2793
185.42024,17.78261,-10.68308,2.21556,29958.82031
185.86078,17.78268,-10.68288,2.19119,29958.3457
186.29762,17.78275,-10.68269,2.16641,29957.88477
186.72809,17.78281,-10.68249,2.14254,29957.42188
187.15582,17.78288,-10.6823,2.11886,29956.96094
187.58331,17.78295,-10.6821,2.09521,29956.50195
188.00163,17.78302,-10.6819,2.07259,29956.04102
188.4144,17.78308,-10.68171,2.05024,29955.5918
188.82292,17.78315,-10.68152,2.02841,29955.12891
189.22588,17.78322,-10.68133,2.0064,29954.66797
189.63179,17.78329,-10.68114,1.98456,29954.20508
190.03348,17.78335,-10.68095,1.96358,29953.74609
190.42822,17.78341,-10.68077,1.94264,29953.28711
190.81783,17.78348,-10.68059,1.922,29952.82422
191.20035,17.78354,-10.68041,1.90243,29952.36133
191.58139,17.7836,-10.68024,1.88263,29951.88867
191.96175,17.78366,-10.68007,1.86268,29951.43164
192.33896,17.78372,-10.67989,1.8438,29950.96875
192.70544,17.78378,-10.67972,1.82488,29950.50977
193.0722,17.78384,-10.67955,1.80624,29950.04883
193.43657,17.7839,-10.67939,1.78805,29949.58789
193.79482,17.78395,-10.67922,1.76999,29949.12305
194.15067,17.78401,-10.67906,1.75221,29948.66406
194.50146,17.78407,-10.6789,1.73501,29948.20117
194.84563,17.78412,-10.67875,1.71802,29947.73828
195.19223,17.78417,-10.67859,1.70079,29947.26367
195.53238,17.78423,-10.67844,1.68463,29946.81445
195.87018,17.78428,-10.67828,1.66789,29946.36719
196.2059,17.78433,-10.67814,1.65166,29945.92188
196.5356,17.78439,-10.67799,1.63575,29945.46094
196.86163,17.78444,-10.67785,1.62007,29944.98828
197.1828,17.78448,-10.67771,1.60473,29944.52344
197.50366,17.78453,-10.67757,1.5897,29944.05273
197.81898,17.78458,-10.67743,1.57468,29943.5918
198.13348,17.78463,-10.67729,1.55985,29943.14453
198.44485,17.78468,-10.67715,1.54561,29942.69727
198.75145,17.78472,-10.67702,1.53112,29942.24609
199.05682,17.78477,-10.67689,1.51685,29941.79883
199.35887,17.78481,-10.67676,1.50297,29941.34766
199.65598,17.78486,-10.67663,1.48922,29940.89844
199.95261,17.7849,-10.6765,1.47549,29940.45117
200.24417,17.78494,-10.67638,1.46233,29940
200.53043,17.78499,-10.67626,1.44915,29939.55273
200.81606,17.78503,-10.67614,1.43658,29939.10352
201.09789,17.78507,-10.67602,1.4238,29938.6543
201.37834,17.78511,-10.6759,1.41165,29938.20508
201.65326,17.78515,-10.67579,1.39901,29937.75781
201.9299,17.78519,-10.67567,1.38665,29937.30664
202.19762,17.78523,-10.67556,1.37438,29936.84375
202.46364,17.78527,-10.67545,1.36256,29936.37109
202.7272,17.78531,-10.67534,1.35123,29935.91016
202.98674,17.78534,-10.67524,1.33969,29935.4375
203.24513,17.78538,-10.67514,1.32868,29934.9707
203.49995,17.78542,-10.67504,1.3174,29934.50586
203.75134,17.78545,-10.67494,1.30638,29934.06055
203.99895,17.78548,-10.67484,1.29591,29933.61133
204.24426,17.78552,-10.67474,1.28521,29933.16016
204.49017,17.78555,-10.67463,1.27493,29932.71289
204.7308,17.78559,-10.67453,1.26442,29932.26367
204.97018,17.78563,-10.67443,1.25425,29931.8125
205.20534,17.78566,-10.67434,1.24426,29931.36523
205.44084,17.78569,-10.67424,1.23452,29930.91602
205.67105,17.78572,-10.67415,1.22459,29930.46484
205.89915,17.78576,-10.67406,1.21475,29930.01562
206.12547,17.78579,-10.67397,1.20513,29929.56836
206.34978,17.78582,-10.67388,1.19611,29929.11719
206.56892,17.78585,-10.6738,1.18674,29928.66797
206.78949,17.78588,-10.67371,1.17781,29928.2168
207.00467,17.78591,-10.67363,1.16875,29927.76953
207.2171,17.78593,-10.67355,1.16008,29927.32031
207.43077,17.78596,-10.67347,1.1513,29926.86914
207.64017,17.78599,-10.67339,1.14262,29926.41992
207.84695,17.78602,-10.67331,1.13381,29925.97266
208.05267,17.78605,-10.67323,1.12569,29925.52148
208.25215,17.78607,-10.67316,1.11728,29925.07422
208.45554,17.7861,-10.67308,1.10915,29924.625
208.65332,17.78612,-10.67301,1.10117,29924.17383
208.8472,17.78615,-10.67294,1.09304,29923.72461
209.04207,17.78617,-10.67286,1.08546,29923.27539
209.23421,17.7862,-10.67279,1.07757,29922.82422
209.42575,17.78622,-10.67272,1.06988,29922.375
209.61426,17.78624,-10.67266,1.0683,29921.92383
209.79395,17.78624,-10.67269,1.06645,29921.47656
209.96568,17.78617,-10.67286,1.11852,29921.02539
209.84811,17.78485,-10.67667,2.4579,29920.57617
209.16969,17.7773,-10.69828,2.20238,29920.12695
207.98331,17.7636,-10.73753,2.25298,29919.67773
206.40045,17.74374,-10.79447,1.71536,29919.22656
204.77167,17.72088,-10.86001,1.39793,29918.7793
