#v_a,w,h
179.49,18858.3,22991.25
179.49,18858.3,22991.25
173.28,18857.26,22991.25
166.25,18857.26,22992.14
160.49,18857.26,22992.14
160.49,18856.54,22804.27
165.07,18856.54,22804.27
165.07,18855.19,22238.81
171.84,18855.19,22238.81
176.63,18852.18,21702.63
176.63,18852.18,21702.63
176.63,18852.18,21166.46
173.08,18852.18,21166.46
172,18852.18,20569
179.46,18852.49,19770.08
185.63,18852.49,19315.87
185.63,18852.49,19315.87
183.66,18852.49,18938.91
183.66,18852.49,18526.19
177.34,18852.49,18111.62
176.37,18852.49,18111.62
176.37,18852.49,17539.89
174.1,18852.49,17539.89
174.1,18852.49,16922.54
168.96,18852.49,16407.78
168.96,18852.49,16407.78
168.5,18852.49,15918.8
161.6,18852.49,15918.8
154.76,18852.49,15500.22
148.78,18852.49,15500.22
144.9,18852.49,15088.64
144.9,18852.49,15088.64
143.18,18852.49,14598.39
143.18,18851.24,14598.39
146.82,18851.24,14069.36
146.82,18851.24,14069.36
146.82,18851.24,13558.35
146.35,18851.24,13558.35
146.35,18851.24,13055.74
145.55,18851.24,13055.74
145.55,18851.24,12603.38
151.23,18851.24,12603.38
151.23,18851.24,12040.71
151.23,18851.24,11514.11
149.18,18851.24,11514.11
145.65,18851.24,10854.03
151.96,18851.24,10854.03
151.96,18851.24,10626.14
152.74,18851.24,10626.14
141.4,18851.24,10278.77
141.4,18851.24,10278.77
141.41,18851.24,9839.23
141.41,18851.24,9839.23
140.28,18851.24,9336.76
140.28,18851.24,9336.76
140.28,18851.24,9336.76
138.55,18851.24,8925.18
138.55,18851.24,8925.18
142.62,18851.24,8440.81
142.62,18851.24,8440.81
144.37,18851.24,7920.1
144.37,18851.24,7920.1
139.5,18851.24,7616.17
139.5,18851.24,7616.17
140.65,18851.24,7616.17
135,18851.24,6992.06
135,18851.24,6992.06
132.82,18851.24,6455.97
133.19,18851.24,6455.97
133.19,18851.24,6039.05
133.19,18851.24,5542.72
135.08,18851.24,5542.72
135.08,18851.24,4974.47
130.93,18851.24,4974.47
129.33,18851.24,4420.19
129.33,18851.24,4420.19
130.48,18850,4420.19
130.48,18850,3875.63
129.5,18850,3331.07
129.5,18850,3331.07
133.7,18850,2828.34
133.7,18850,2828.34
133.7,18850,2417.8
129.75,18850,2417.8
133.91,18850,2063.5
135.87,18850,2063.5
135.87,18850,1658.9
130.07,18850,1658.9
130.07,18850,1380.15
130.61,18850,1380.15
130.61,18850,1380.15
136.48,18850,1031.49
129.53,18850,1031.49
