#v_a,w,h
182.41,16752.90,23007.65
182.41,16752.90,23022.52
183.03,16748.76,23022.52
183.03,16748.76,23023.41
183.11,16746.99,23023.41
183.11,16745.23,23023.41
183.88,16745.23,23017.31
183.88,16741.80,23017.31
183.88,16741.80,22983.24
184.12,16739.52,22983.24
184.12,16737.34,22984.13
184.43,16737.34,22984.13
184.43,16734.02,22984.13
184.21,16734.02,22992.01
184.21,16729.46,22992.01
184.21,16729.46,23027.86
184.45,16728.01,23027.86
184.45,16726.45,23014.76
184.31,16726.45,23014.76
184.31,16722.61,23014.76
183.03,16722.61,22987.69
183.03,16720.64,22987.69
183.03,16718.88,22988.58
182.20,16718.88,22988.58
182.20,16715.35,22988.58
182.44,16715.35,22989.47
182.44,16712.03,22989.47
182.67,16712.03,22990.36
182.67,16710.06,22990.36
179.49,16708.30,22991.25
179.49,16708.30,22991.25
173.28,16707.26,22991.25
166.25,16707.26,22992.14
160.49,16707.26,22992.14
160.49,16706.54,22804.27
165.07,16706.54,22804.27
165.07,16705.19,22238.81
171.84,16705.19,22238.81
176.63,16702.18,21702.63
176.63,16702.18,21702.63
176.63,16702.18,21166.46
173.08,16702.18,21166.46
172.00,16702.18,20569.00
179.46,16702.49,19770.08
185.63,16702.49,19315.87
185.63,16702.49,19315.87
183.66,16702.49,18938.91
183.66,16702.49,18526.19
177.34,16702.49,18111.62
176.37,16702.49,18111.62
176.37,16702.49,17539.89
174.10,16702.49,17539.89
174.10,16702.49,16922.54
168.96,16702.49,16407.78
168.96,16702.49,16407.78
168.50,16702.49,15918.80
161.60,16702.49,15918.80
154.76,16702.49,15500.22
148.78,16702.49,15500.22
144.90,16702.49,15088.64
144.90,16702.49,15088.64
143.18,16702.49,14598.39
143.18,16701.24,14598.39
146.82,16701.24,14069.36
146.82,16701.24,14069.36
146.82,16701.24,13558.35
146.35,16701.24,13558.35
146.35,16701.24,13055.74
145.55,16701.24,13055.74
145.55,16701.24,12603.38
151.23,16701.24,12603.38
151.23,16701.24,12040.71
151.23,16701.24,11514.11
149.18,16701.24,11514.11
145.65,16701.24,10854.03
151.96,16701.24,10854.03
151.96,16701.24,10626.14
152.74,16701.24,10626.14
141.40,16701.24,10278.77
141.40,16701.24,10278.77
141.41,16701.24,9839.23
141.41,16701.24,9839.23
140.28,16701.24,9336.76
140.28,16701.24,9336.76
140.28,16701.24,9336.76
138.55,16701.24,8925.18
138.55,16701.24,8925.18
142.62,16701.24,8440.81
142.62,16701.24,8440.81
144.37,16701.24,7920.10
144.37,16701.24,7920.10
139.50,16701.24,7616.17
139.50,16701.24,7616.17
140.65,16701.24,7616.17
135.00,16701.24,6992.06
135.00,16701.24,6992.06
132.82,16701.24,6455.97
133.19,16701.24,6455.97
133.19,16701.24,6039.05
133.19,16701.24,5542.72
135.08,16701.24,5542.72
135.08,16701.24,4974.47
130.93,16701.24,4974.47
129.33,16701.24,4420.19
129.33,16701.24,4420.19
130.48,16700.00,4420.19
130.48,16700.00,3875.63
129.50,16700.00,3331.07
129.50,16700.00,3331.07
133.70,16700.00,2828.34
133.70,16700.00,2828.34
133.70,16700.00,2417.80
129.75,16700.00,2417.80
133.91,16700.00,2063.50
135.87,16700.00,2063.50
135.87,16700.00,1658.90
130.07,16700.00,1658.90
130.07,16700.00,1380.15
130.61,16700.00,1380.15
130.61,16700.00,1380.15
136.48,16700.00,1031.49
129.53,16700.00,1031.49
